epoch,accuracy,loss,val_accuracy,val_loss
0,0.3055161237716675,2.98679780960083,0.5283828377723694,1.989108920097351
1,0.397732138633728,2.4968461990356445,0.5508250594139099,1.8823719024658203
2,0.4160532057285309,2.4072022438049316,0.5534653663635254,1.82381010055542
3,0.42721089720726013,2.3584883213043213,0.5726072788238525,1.7999378442764282
4,0.43236061930656433,2.3144733905792236,0.5636963844299316,1.786382794380188
5,0.4394579529762268,2.2935831546783447,0.5726072788238525,1.7719923257827759
6,0.4429241120815277,2.2746503353118896,0.5759075880050659,1.7705248594284058
7,0.44746312499046326,2.2589218616485596,0.5795379281044006,1.7564350366592407
8,0.4483048915863037,2.2436776161193848,0.5709571242332458,1.772515058517456
9,0.45041757822036743,2.2299911975860596,0.5801980495452881,1.7622839212417603
10,0.45386722683906555,2.22754168510437,0.5805280804634094,1.7586804628372192
