epoch,accuracy,loss,val_accuracy,val_loss
0,0.3836669921875,2.5100648403167725,0.6445544362068176,1.3901478052139282
1,0.49065011739730835,1.9864329099655151,0.6762376427650452,1.2776890993118286
2,0.5156711339950562,1.894389271736145,0.6831682920455933,1.2376623153686523
3,0.5249632596969604,1.838142991065979,0.6854785680770874,1.2074319124221802
4,0.5320437550544739,1.8045462369918823,0.6858085989952087,1.1942412853240967
5,0.5356582999229431,1.7870523929595947,0.6894389390945435,1.1980640888214111
6,0.5426892638206482,1.7585439682006836,0.6874587535858154,1.1893069744110107
7,0.5461387634277344,1.7464535236358643,0.6897689700126648,1.1990816593170166
8,0.5482017993927002,1.743881106376648,0.6973597407341003,1.184104084968567
9,0.5522289276123047,1.7209113836288452,0.6927392482757568,1.1905149221420288
10,0.5533182621002197,1.711495280265808,0.6930692791938782,1.1907002925872803
11,0.553714394569397,1.71149480342865,0.6976897716522217,1.170782446861267
12,0.5535493493080139,1.7092487812042236,0.6910890936851501,1.1795670986175537
13,0.5580716133117676,1.6911371946334839,0.7033003568649292,1.1829031705856323
14,0.5597385764122009,1.6860183477401733,0.7029703259468079,1.1720986366271973
