epoch,accuracy,loss,val_accuracy,val_loss
0,0.2495460957288742,3.263071298599243,0.46303629875183105,2.287205219268799
1,0.33582016825675964,2.7888150215148926,0.47821781039237976,2.1587605476379395
2,0.3585151731967926,2.682485342025757,0.4993399381637573,2.1112773418426514
3,0.3687155544757843,2.6370327472686768,0.4920791983604431,2.0983035564422607
4,0.37627503275871277,2.5959298610687256,0.5016501545906067,2.077467918395996
5,0.37908098101615906,2.5756542682647705,0.5016501545906067,2.090862989425659
6,0.3839831054210663,2.558568000793457,0.5122112035751343,2.0699539184570312
7,0.38984254002571106,2.540867328643799,0.5188118815422058,2.057448387145996
8,0.38961145281791687,2.527736186981201,0.5168316960334778,2.0733561515808105
9,0.3918066918849945,2.513453483581543,0.5085808634757996,2.0760598182678223
10,0.39469513297080994,2.511878728866577,0.5207920670509338,2.058413028717041
