epoch,accuracy,loss,val_accuracy,val_loss
0,0.4448552429676056,2.312124729156494,0.6240924000740051,1.4896104335784912
1,0.5510513782501221,1.7915669679641724,0.6686468720436096,1.3280463218688965
2,0.6018882393836975,1.568597435951233,0.684158444404602,1.237630009651184
3,0.6380516886711121,1.4035382270812988,0.6877887845039368,1.232014775276184
4,0.6717723608016968,1.2532380819320679,0.6884488463401794,1.1872988939285278
5,0.7004753351211548,1.1271430253982544,0.6910890936851501,1.1914379596710205
6,0.7261413335800171,1.012819528579712,0.6993399262428284,1.1791800260543823
7,0.7514277100563049,0.9114250540733337,0.6914191246032715,1.2006402015686035
8,0.7715973854064941,0.8239021897315979,0.6983498334884644,1.2705483436584473
9,0.7934836149215698,0.7438533306121826,0.695049524307251,1.276320457458496
